2024-01-29 14:02:59,758 p=47162 u=komlev n=ansible | PLAY [install Jenkins] ************************************************************************************************************************************************************************************
2024-01-29 14:02:59,775 p=47162 u=komlev n=ansible | TASK [Gathering Facts] ************************************************************************************************************************************************************************************
2024-01-29 14:03:02,100 p=47162 u=komlev n=ansible | ok: [VM1]
2024-01-29 14:03:02,137 p=47162 u=komlev n=ansible | TASK [update yum] *****************************************************************************************************************************************************************************************
2024-01-29 14:04:53,739 p=47162 u=komlev n=ansible |  [ERROR]: User interrupted execution

2024-01-29 14:04:57,148 p=47230 u=komlev n=ansible | PLAY [install Jenkins] ************************************************************************************************************************************************************************************
2024-01-29 14:04:57,167 p=47230 u=komlev n=ansible | TASK [Gathering Facts] ************************************************************************************************************************************************************************************
2024-01-29 14:05:04,387 p=47230 u=komlev n=ansible | ok: [VM1]
2024-01-29 14:05:04,428 p=47230 u=komlev n=ansible | TASK [update yum] *****************************************************************************************************************************************************************************************
2024-01-29 14:08:37,526 p=47230 u=komlev n=ansible |  [ERROR]: User interrupted execution

2024-01-29 14:10:54,476 p=47263 u=komlev n=ansible | PLAY [install Jenkins] ************************************************************************************************************************************************************************************
2024-01-29 14:10:54,491 p=47263 u=komlev n=ansible | TASK [Gathering Facts] ************************************************************************************************************************************************************************************
2024-01-29 14:10:56,932 p=47263 u=komlev n=ansible | ok: [VM1]
2024-01-29 14:10:56,970 p=47263 u=komlev n=ansible | TASK [update yum] *****************************************************************************************************************************************************************************************
2024-01-29 14:11:00,302 p=47263 u=komlev n=ansible | ok: [VM1]
2024-01-29 14:11:00,319 p=47263 u=komlev n=ansible | TASK [add repo] *******************************************************************************************************************************************************************************************
2024-01-29 14:11:02,217 p=47263 u=komlev n=ansible | changed: [VM1]
2024-01-29 14:11:02,234 p=47263 u=komlev n=ansible | TASK [import key file] ************************************************************************************************************************************************************************************
2024-01-29 14:11:04,142 p=47263 u=komlev n=ansible | changed: [VM1]
2024-01-29 14:11:04,159 p=47263 u=komlev n=ansible | TASK [update yum] *****************************************************************************************************************************************************************************************
2024-01-29 14:11:09,085 p=47263 u=komlev n=ansible | ok: [VM1]
2024-01-29 14:11:09,102 p=47263 u=komlev n=ansible | TASK [install java] ***************************************************************************************************************************************************************************************
2024-01-29 14:11:38,605 p=47263 u=komlev n=ansible | changed: [VM1]
2024-01-29 14:11:38,623 p=47263 u=komlev n=ansible | TASK [add path] *******************************************************************************************************************************************************************************************
2024-01-29 14:11:39,595 p=47263 u=komlev n=ansible | changed: [VM1]
2024-01-29 14:11:39,612 p=47263 u=komlev n=ansible | TASK [install jenkins] ************************************************************************************************************************************************************************************
2024-01-29 14:12:27,322 p=47263 u=komlev n=ansible | changed: [VM1]
2024-01-29 14:12:27,340 p=47263 u=komlev n=ansible | TASK [start jenkins] **************************************************************************************************************************************************************************************
2024-01-29 14:13:22,700 p=47263 u=komlev n=ansible | changed: [VM1]
2024-01-29 14:13:22,747 p=47263 u=komlev n=ansible | PLAY RECAP ************************************************************************************************************************************************************************************************
2024-01-29 14:13:22,747 p=47263 u=komlev n=ansible | VM1                        : ok=9    changed=6    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
